29217,104993,178579,109114,182132,iMentor NYC,BLA II,2019,Class 4,College Ready,1/29/2016,,,Match Open,,
28353,104994,178580,98673,172609,iMentor NYC,BLA II,2019,Class 3,College Ready,11/13/2015,,,Match Open,,
28417,104995,178581,99282,173200,iMentor NYC,BLA II,2019,Class 2,College Ready,11/16/2015,,,Match Open,,
28443,104996,178582,94861,169359,iMentor NYC,BLA II,2019,Class 1,College Ready,11/17/2015,10/13/2016,331,Match Closed,Mentee can no longer participate,Moved / Transferred to another school
29004,105002,178588,108301,181495,iMentor NYC,BLA II,2019,Class 3,College Ready,12/21/2015,,,Match Open,,
28272,105027,178614,97489,171616,iMentor NYC,FDA II,2019,Class 1,College Ready,11/11/2015,2/3/2016,83,Match Closed,Mentee can no longer participate,Moved / Transferred to another school
28367,105030,178617,100013,173889,iMentor NYC,FDA II,2019,Class 4,College Ready,11/13/2015,,,Match Open,,
26993,105085,156647,106303,132502,iMentor NYC,MHSIS,2017,Class 4,College Ready,10/14/2015,,,Match Open,,
26902,105101,158545,95733,170016,iMentor NYC,MHSIS,2017,Class 2,College Ready,10/14/2015,10/21/2015,7,Match Closed,Mentee can no longer participate,Academic/Behavioral problems
29228,105111,178691,95145,169573,iMentor NYC,Lyons,2019,Class 1,College Ready,2/2/2016,,,Match Open,,
28876,105112,178692,99017,172942,iMentor NYC,Lyons,2019,Class 2,College Ready,12/10/2015,,,Match Open,,
28877,105113,178693,95993,170235,iMentor NYC,Lyons,2019,Class 3,College Ready,12/10/2015,,,Match Open,,
28866,105114,178694,100638,174470,iMentor NYC,Lyons,2019,Class 3,College Ready,12/10/2015,,,Match Open,,
28923,105116,178696,106392,179874,iMentor NYC,Lyons,2019,Class 2,College Ready,12/10/2015,,,Match Open,,
28945,105117,178697,108172,181394,iMentor NYC,Lyons,2019,Class 3,College Ready,12/15/2015,,,Match Open,,
28951,105118,178698,106159,179684,iMentor NYC,Lyons,2019,Class 1,College Ready,12/16/2015,6/16/2016,183,Match Closed,Mentor can no longer participate,Did not give a reason
28952,105119,178699,107308,180687,iMentor NYC,Lyons,2019,Class 1,College Ready,12/16/2015,1/8/2016,23,Match Closed,Mentor can no longer participate,Unable to meet program requirements
29229,105121,178701,107720,181010,iMentor NYC,Lyons,2019,Class 1,College Ready,2/2/2016,,,Match Open,,
28116,105124,178704,100578,174425,iMentor NYC,IHSL,2017,Class 3,College Transition,11/10/2015,,,Match Open,,
28113,105125,178705,96768,170919,iMentor NYC,IHSL,2017,Class 1,College Transition,11/10/2015,,,Match Open,,
28240,105126,178706,97625,162020,iMentor NYC,IHSL,2017,Class 1,College Transition,11/11/2015,,,Match Open,,
28200,105127,178707,100255,174113,iMentor NYC,IHSL,2017,Class 4,College Transition,11/11/2015,,,Match Open,,
28102,105128,178708,103453,177155,iMentor NYC,IHSL,2017,Class 2,College Transition,11/10/2015,,,Match Open,,
29006,105129,178709,107289,180669,iMentor NYC,IHSL,2017,Class 1,College Transition,12/22/2015,12/23/2015,1,Match Closed,Mentor can no longer participate,Unable to meet program requirements
28155,105130,178710,97310,171449,iMentor NYC,IHSL,2017,Class 3,College Transition,11/11/2015,,,Match Open,,
28168,105131,178711,97307,171446,iMentor NYC,IHSL,2017,Class 3,College Transition,11/11/2015,,,Match Open,,
28163,105132,178712,94884,169379,iMentor NYC,IHSL,2017,Class 1,College Transition,11/11/2015,12/2/2015,21,Match Closed,Mentee can no longer participate,Dropped out of school
29128,105135,178715,103472,177173,iMentor NYC,MHSIS,2018,Class 4,College Ready,1/14/2016,9/22/2016,252,Match Closed,Mentee can no longer participate,Moved / Transferred to another school
28667,105136,178716,102146,175900,iMentor NYC,MHSIS,2018,Class 3,College Ready,12/3/2015,,,Match Open,,
28222,105138,178718,101471,175285,iMentor NYC,IHSL,2017,Class 1,College Transition,11/11/2015,,,Match Open,,
28666,105139,178719,108136,175926,iMentor NYC,MHSIS,2018,Class 1,College Ready,12/3/2015,,,Match Open,,
28198,105140,178720,98553,172492,iMentor NYC,IHSL,2017,Class 1,College Transition,11/11/2015,,,Match Open,,
26736,105160,156953,95646,169947,iMentor NYC,Bridges,2017,Class 6,College Ready,10/12/2015,,,Match Open,,
26725,105161,158863,89069,164304,iMentor NYC,Bridges,2017,Class 3,College Ready,10/12/2015,5/19/2016,220,Match Closed,Mentor can no longer participate,Schedule Conflict
26728,105162,157039,99023,172948,iMentor NYC,Bridges,2017,Class 2,College Ready,10/12/2015,,,Match Open,,
26737,105163,157211,99944,173825,iMentor NYC,Bridges,2017,Class 5,College Ready,10/12/2015,10/5/2016,359,Match Closed,Mentee can no longer participate,Resistant to program
26727,105165,156936,96549,170702,iMentor NYC,Bridges,2017,Class 6,College Ready,10/12/2015,,,Match Open,,
